BookLabel,BookNr,Chapter
Genesis,1, 1
Genesis,1, 2
Genesis,1, 3
Genesis,1, 4
Genesis,1, 5
Genesis,1, 6
Genesis,1, 7
Genesis,1, 8
Genesis,1, 9
Genesis,1, 10
Genesis,1, 11
Genesis,1, 12
Genesis,1, 13
Genesis,1, 14
Genesis,1, 15
Genesis,1, 16
Genesis,1, 17
Genesis,1, 18
Genesis,1, 19
Genesis,1, 20
Genesis,1, 21
Genesis,1, 22
Genesis,1, 23
Genesis,1, 24
Genesis,1, 25
Genesis,1, 26
Genesis,1, 27
Genesis,1, 28
Genesis,1, 29
Genesis,1, 30
Genesis,1, 31
Genesis,1, 32
Genesis,1, 33
Genesis,1, 34
Genesis,1, 35
Genesis,1, 36
Genesis,1, 37
Genesis,1, 38
Genesis,1, 39
Genesis,1, 40
Genesis,1, 41
Genesis,1, 42
Genesis,1, 43
Genesis,1, 44
Genesis,1, 45
Genesis,1, 46
Genesis,1, 47
Genesis,1, 48
Genesis,1, 49
Genesis,1, 50
Exodus,2, 1
Exodus,2, 2
Exodus,2, 3
Exodus,2, 4
Exodus,2, 5
Exodus,2, 6
Exodus,2, 7
Exodus,2, 8
Exodus,2, 9
Exodus,2, 10
Exodus,2, 11
Exodus,2, 12
Exodus,2, 13
Exodus,2, 14
Exodus,2, 15
Exodus,2, 16
Exodus,2, 17
Exodus,2, 18
Exodus,2, 19
Exodus,2, 20
Exodus,2, 21
Exodus,2, 22
Exodus,2, 23
Exodus,2, 24
Exodus,2, 25
Exodus,2, 26
Exodus,2, 27
Exodus,2, 28
Exodus,2, 29
Exodus,2, 30
Exodus,2, 31
Exodus,2, 32
Exodus,2, 33
Exodus,2, 34
Exodus,2, 35
Exodus,2, 36
Exodus,2, 37
Exodus,2, 38
Exodus,2, 39
Exodus,2, 40
Leviticus,3, 1
Leviticus,3, 2
Leviticus,3, 3
Leviticus,3, 4
Leviticus,3, 5
Leviticus,3, 6
Leviticus,3, 7
Leviticus,3, 8
Leviticus,3, 9
Leviticus,3, 10
Leviticus,3, 11
Leviticus,3, 12
Leviticus,3, 13
Leviticus,3, 14
Leviticus,3, 15
Leviticus,3, 16
Leviticus,3, 17
Leviticus,3, 18
Leviticus,3, 19
Leviticus,3, 20
Leviticus,3, 21
Leviticus,3, 22
Leviticus,3, 23
Leviticus,3, 24
Leviticus,3, 25
Leviticus,3, 26
Leviticus,3, 27
Numbers,4, 1
Numbers,4, 2
Numbers,4, 3
Numbers,4, 4
Numbers,4, 5
Numbers,4, 6
Numbers,4, 7
Numbers,4, 8
Numbers,4, 9
Numbers,4, 10
Numbers,4, 11
Numbers,4, 12
Numbers,4, 13
Numbers,4, 14
Numbers,4, 15
Numbers,4, 16
Numbers,4, 17
Numbers,4, 18
Numbers,4, 19
Numbers,4, 20
Numbers,4, 21
Numbers,4, 22
Numbers,4, 23
Numbers,4, 24
Numbers,4, 25
Numbers,4, 26
Numbers,4, 27
Numbers,4, 28
Numbers,4, 29
Numbers,4, 30
Numbers,4, 31
Numbers,4, 32
Numbers,4, 33
Numbers,4, 34
Numbers,4, 35
Numbers,4, 36
Deuteronomy,5, 1
Deuteronomy,5, 2
Deuteronomy,5, 3
Deuteronomy,5, 4
Deuteronomy,5, 5
Deuteronomy,5, 6
Deuteronomy,5, 7
Deuteronomy,5, 8
Deuteronomy,5, 9
Deuteronomy,5, 10
Deuteronomy,5, 11
Deuteronomy,5, 12
Deuteronomy,5, 13
Deuteronomy,5, 14
Deuteronomy,5, 15
Deuteronomy,5, 16
Deuteronomy,5, 17
Deuteronomy,5, 18
Deuteronomy,5, 19
Deuteronomy,5, 20
Deuteronomy,5, 21
Deuteronomy,5, 22
Deuteronomy,5, 23
Deuteronomy,5, 24
Deuteronomy,5, 25
Deuteronomy,5, 26
Deuteronomy,5, 27
Deuteronomy,5, 28
Deuteronomy,5, 29
Deuteronomy,5, 30
Deuteronomy,5, 31
Deuteronomy,5, 32
Deuteronomy,5, 33
Deuteronomy,5, 34
Joshua,6, 1
Joshua,6, 2
Joshua,6, 3
Joshua,6, 4
Joshua,6, 5
Joshua,6, 6
Joshua,6, 7
Joshua,6, 8
Joshua,6, 9
Joshua,6, 10
Joshua,6, 11
Joshua,6, 12
Joshua,6, 13
Joshua,6, 14
Joshua,6, 15
Joshua,6, 16
Joshua,6, 17
Joshua,6, 18
Joshua,6, 19
Joshua,6, 20
Joshua,6, 21
Joshua,6, 22
Joshua,6, 23
Joshua,6, 24
Judges,7, 1
Judges,7, 2
Judges,7, 3
Judges,7, 4
Judges,7, 5
Judges,7, 6
Judges,7, 7
Judges,7, 8
Judges,7, 9
Judges,7, 10
Judges,7, 11
Judges,7, 12
Judges,7, 13
Judges,7, 14
Judges,7, 15
Judges,7, 16
Judges,7, 17
Judges,7, 18
Judges,7, 19
Judges,7, 20
Judges,7, 21
Ruth,8, 1
Ruth,8, 2
Ruth,8, 3
Ruth,8, 4
1 Samuel,9, 1
1 Samuel,9, 2
1 Samuel,9, 3
1 Samuel,9, 4
1 Samuel,9, 5
1 Samuel,9, 6
1 Samuel,9, 7
1 Samuel,9, 8
1 Samuel,9, 9
1 Samuel,9, 10
1 Samuel,9, 11
1 Samuel,9, 12
1 Samuel,9, 13
1 Samuel,9, 14
1 Samuel,9, 15
1 Samuel,9, 16
1 Samuel,9, 17
1 Samuel,9, 18
1 Samuel,9, 19
1 Samuel,9, 20
1 Samuel,9, 21
1 Samuel,9, 22
1 Samuel,9, 23
1 Samuel,9, 24
1 Samuel,9, 25
1 Samuel,9, 26
1 Samuel,9, 27
1 Samuel,9, 28
1 Samuel,9, 29
1 Samuel,9, 30
1 Samuel,9, 31
2 Samuel,10, 1
2 Samuel,10, 2
2 Samuel,10, 3
2 Samuel,10, 4
2 Samuel,10, 5
2 Samuel,10, 6
2 Samuel,10, 7
2 Samuel,10, 8
2 Samuel,10, 9
2 Samuel,10, 10
2 Samuel,10, 11
2 Samuel,10, 12
2 Samuel,10, 13
2 Samuel,10, 14
2 Samuel,10, 15
2 Samuel,10, 16
2 Samuel,10, 17
2 Samuel,10, 18
2 Samuel,10, 19
2 Samuel,10, 20
2 Samuel,10, 21
2 Samuel,10, 22
2 Samuel,10, 23
2 Samuel,10, 24
1 Kings,11, 1
1 Kings,11, 2
1 Kings,11, 3
1 Kings,11, 4
1 Kings,11, 5
1 Kings,11, 6
1 Kings,11, 7
1 Kings,11, 8
1 Kings,11, 9
1 Kings,11, 10
1 Kings,11, 11
1 Kings,11, 12
1 Kings,11, 13
1 Kings,11, 14
1 Kings,11, 15
1 Kings,11, 16
1 Kings,11, 17
1 Kings,11, 18
1 Kings,11, 19
1 Kings,11, 20
1 Kings,11, 21
1 Kings,11, 22
2 Kings,12, 1
2 Kings,12, 2
2 Kings,12, 3
2 Kings,12, 4
2 Kings,12, 5
2 Kings,12, 6
2 Kings,12, 7
2 Kings,12, 8
2 Kings,12, 9
2 Kings,12, 10
2 Kings,12, 11
2 Kings,12, 12
2 Kings,12, 13
2 Kings,12, 14
2 Kings,12, 15
2 Kings,12, 16
2 Kings,12, 17
2 Kings,12, 18
2 Kings,12, 19
2 Kings,12, 20
2 Kings,12, 21
2 Kings,12, 22
2 Kings,12, 23
2 Kings,12, 24
2 Kings,12, 25
1 Chronicles,13, 1
1 Chronicles,13, 2
1 Chronicles,13, 3
1 Chronicles,13, 4
1 Chronicles,13, 5
1 Chronicles,13, 6
1 Chronicles,13, 7
1 Chronicles,13, 8
1 Chronicles,13, 9
1 Chronicles,13, 10
1 Chronicles,13, 11
1 Chronicles,13, 12
1 Chronicles,13, 13
1 Chronicles,13, 14
1 Chronicles,13, 15
1 Chronicles,13, 16
1 Chronicles,13, 17
1 Chronicles,13, 18
1 Chronicles,13, 19
1 Chronicles,13, 20
1 Chronicles,13, 21
1 Chronicles,13, 22
1 Chronicles,13, 23
1 Chronicles,13, 24
1 Chronicles,13, 25
1 Chronicles,13, 26
1 Chronicles,13, 27
1 Chronicles,13, 28
1 Chronicles,13, 29
2 Chronicles,14, 1
2 Chronicles,14, 2
2 Chronicles,14, 3
2 Chronicles,14, 4
2 Chronicles,14, 5
2 Chronicles,14, 6
2 Chronicles,14, 7
2 Chronicles,14, 8
2 Chronicles,14, 9
2 Chronicles,14, 10
2 Chronicles,14, 11
2 Chronicles,14, 12
2 Chronicles,14, 13
2 Chronicles,14, 14
2 Chronicles,14, 15
2 Chronicles,14, 16
2 Chronicles,14, 17
2 Chronicles,14, 18
2 Chronicles,14, 19
2 Chronicles,14, 20
2 Chronicles,14, 21
2 Chronicles,14, 22
2 Chronicles,14, 23
2 Chronicles,14, 24
2 Chronicles,14, 25
2 Chronicles,14, 26
2 Chronicles,14, 27
2 Chronicles,14, 28
2 Chronicles,14, 29
2 Chronicles,14, 30
2 Chronicles,14, 31
2 Chronicles,14, 32
2 Chronicles,14, 33
2 Chronicles,14, 34
2 Chronicles,14, 35
2 Chronicles,14, 36
Ezra,15, 1
Ezra,15, 2
Ezra,15, 3
Ezra,15, 4
Ezra,15, 5
Ezra,15, 6
Ezra,15, 7
Ezra,15, 8
Ezra,15, 9
Ezra,15, 10
Nehemiah,16, 1
Nehemiah,16, 2
Nehemiah,16, 3
Nehemiah,16, 4
Nehemiah,16, 5
Nehemiah,16, 6
Nehemiah,16, 7
Nehemiah,16, 8
Nehemiah,16, 9
Nehemiah,16, 10
Nehemiah,16, 11
Nehemiah,16, 12
Nehemiah,16, 13
Esther,17, 1
Esther,17, 2
Esther,17, 3
Esther,17, 4
Esther,17, 5
Esther,17, 6
Esther,17, 7
Esther,17, 8
Esther,17, 9
Esther,17, 10
Job,18, 1
Job,18, 2
Job,18, 3
Job,18, 4
Job,18, 5
Job,18, 6
Job,18, 7
Job,18, 8
Job,18, 9
Job,18, 10
Job,18, 11
Job,18, 12
Job,18, 13
Job,18, 14
Job,18, 15
Job,18, 16
Job,18, 17
Job,18, 18
Job,18, 19
Job,18, 20
Job,18, 21
Job,18, 22
Job,18, 23
Job,18, 24
Job,18, 25
Job,18, 26
Job,18, 27
Job,18, 28
Job,18, 29
Job,18, 30
Job,18, 31
Job,18, 32
Job,18, 33
Job,18, 34
Job,18, 35
Job,18, 36
Job,18, 37
Job,18, 38
Job,18, 39
Job,18, 40
Job,18, 41
Job,18, 42
Psalms,19, 1
Psalms,19, 2
Psalms,19, 3
Psalms,19, 4
Psalms,19, 5
Psalms,19, 6
Psalms,19, 7
Psalms,19, 8
Psalms,19, 9
Psalms,19, 10
Psalms,19, 11
Psalms,19, 12
Psalms,19, 13
Psalms,19, 14
Psalms,19, 15
Psalms,19, 16
Psalms,19, 17
Psalms,19, 18
Psalms,19, 19
Psalms,19, 20
Psalms,19, 21
Psalms,19, 22
Psalms,19, 23
Psalms,19, 24
Psalms,19, 25
Psalms,19, 26
Psalms,19, 27
Psalms,19, 28
Psalms,19, 29
Psalms,19, 30
Psalms,19, 31
Psalms,19, 32
Psalms,19, 33
Psalms,19, 34
Psalms,19, 35
Psalms,19, 36
Psalms,19, 37
Psalms,19, 38
Psalms,19, 39
Psalms,19, 40
Psalms,19, 41
Psalms,19, 42
Psalms,19, 43
Psalms,19, 44
Psalms,19, 45
Psalms,19, 46
Psalms,19, 47
Psalms,19, 48
Psalms,19, 49
Psalms,19, 50
Psalms,19, 51
Psalms,19, 52
Psalms,19, 53
Psalms,19, 54
Psalms,19, 55
Psalms,19, 56
Psalms,19, 57
Psalms,19, 58
Psalms,19, 59
Psalms,19, 60
Psalms,19, 61
Psalms,19, 62
Psalms,19, 63
Psalms,19, 64
Psalms,19, 65
Psalms,19, 66
Psalms,19, 67
Psalms,19, 68
Psalms,19, 69
Psalms,19, 70
Psalms,19, 71
Psalms,19, 72
Psalms,19, 73
Psalms,19, 74
Psalms,19, 75
Psalms,19, 76
Psalms,19, 77
Psalms,19, 78
Psalms,19, 79
Psalms,19, 80
Psalms,19, 81
Psalms,19, 82
Psalms,19, 83
Psalms,19, 84
Psalms,19, 85
Psalms,19, 86
Psalms,19, 87
Psalms,19, 88
Psalms,19, 89
Psalms,19, 90
Psalms,19, 91
Psalms,19, 92
Psalms,19, 93
Psalms,19, 94
Psalms,19, 95
Psalms,19, 96
Psalms,19, 97
Psalms,19, 98
Psalms,19, 99
Psalms,19, 100
Psalms,19, 101
Psalms,19, 102
Psalms,19, 103
Psalms,19, 104
Psalms,19, 105
Psalms,19, 106
Psalms,19, 107
Psalms,19, 108
Psalms,19, 109
Psalms,19, 110
Psalms,19, 111
Psalms,19, 112
Psalms,19, 113
Psalms,19, 114
Psalms,19, 115
Psalms,19, 116
Psalms,19, 117
Psalms,19, 118
Psalms,19, 119
Psalms,19, 120
Psalms,19, 121
Psalms,19, 122
Psalms,19, 123
Psalms,19, 124
Psalms,19, 125
Psalms,19, 126
Psalms,19, 127
Psalms,19, 128
Psalms,19, 129
Psalms,19, 130
Psalms,19, 131
Psalms,19, 132
Psalms,19, 133
Psalms,19, 134
Psalms,19, 135
Psalms,19, 136
Psalms,19, 137
Psalms,19, 138
Psalms,19, 139
Psalms,19, 140
Psalms,19, 141
Psalms,19, 142
Psalms,19, 143
Psalms,19, 144
Psalms,19, 145
Psalms,19, 146
Psalms,19, 147
Psalms,19, 148
Psalms,19, 149
Psalms,19, 150
Proverbs,20, 1
Proverbs,20, 2
Proverbs,20, 3
Proverbs,20, 4
Proverbs,20, 5
Proverbs,20, 6
Proverbs,20, 7
Proverbs,20, 8
Proverbs,20, 9
Proverbs,20, 10
Proverbs,20, 11
Proverbs,20, 12
Proverbs,20, 13
Proverbs,20, 14
Proverbs,20, 15
Proverbs,20, 16
Proverbs,20, 17
Proverbs,20, 18
Proverbs,20, 19
Proverbs,20, 20
Proverbs,20, 21
Proverbs,20, 22
Proverbs,20, 23
Proverbs,20, 24
Proverbs,20, 25
Proverbs,20, 26
Proverbs,20, 27
Proverbs,20, 28
Proverbs,20, 29
Proverbs,20, 30
Proverbs,20, 31
Ecclesiastes,21, 1
Ecclesiastes,21, 2
Ecclesiastes,21, 3
Ecclesiastes,21, 4
Ecclesiastes,21, 5
Ecclesiastes,21, 6
Ecclesiastes,21, 7
Ecclesiastes,21, 8
Ecclesiastes,21, 9
Ecclesiastes,21, 10
Ecclesiastes,21, 11
Ecclesiastes,21, 12
Song of Solomon,22, 1
Song of Solomon,22, 2
Song of Solomon,22, 3
Song of Solomon,22, 4
Song of Solomon,22, 5
Song of Solomon,22, 6
Song of Solomon,22, 7
Song of Solomon,22, 8
Isaiah,23, 1
Isaiah,23, 2
Isaiah,23, 3
Isaiah,23, 4
Isaiah,23, 5
Isaiah,23, 6
Isaiah,23, 7
Isaiah,23, 8
Isaiah,23, 9
Isaiah,23, 10
Isaiah,23, 11
Isaiah,23, 12
Isaiah,23, 13
Isaiah,23, 14
Isaiah,23, 15
Isaiah,23, 16
Isaiah,23, 17
Isaiah,23, 18
Isaiah,23, 19
Isaiah,23, 20
Isaiah,23, 21
Isaiah,23, 22
Isaiah,23, 23
Isaiah,23, 24
Isaiah,23, 25
Isaiah,23, 26
Isaiah,23, 27
Isaiah,23, 28
Isaiah,23, 29
Isaiah,23, 30
Isaiah,23, 31
Isaiah,23, 32
Isaiah,23, 33
Isaiah,23, 34
Isaiah,23, 35
Isaiah,23, 36
Isaiah,23, 37
Isaiah,23, 38
Isaiah,23, 39
Isaiah,23, 40
Isaiah,23, 41
Isaiah,23, 42
Isaiah,23, 43
Isaiah,23, 44
Isaiah,23, 45
Isaiah,23, 46
Isaiah,23, 47
Isaiah,23, 48
Isaiah,23, 49
Isaiah,23, 50
Isaiah,23, 51
Isaiah,23, 52
Isaiah,23, 53
Isaiah,23, 54
Isaiah,23, 55
Isaiah,23, 56
Isaiah,23, 57
Isaiah,23, 58
Isaiah,23, 59
Isaiah,23, 60
Isaiah,23, 61
Isaiah,23, 62
Isaiah,23, 63
Isaiah,23, 64
Isaiah,23, 65
Isaiah,23, 66
Jeremiah,24, 1
Jeremiah,24, 2
Jeremiah,24, 3
Jeremiah,24, 4
Jeremiah,24, 5
Jeremiah,24, 6
Jeremiah,24, 7
Jeremiah,24, 8
Jeremiah,24, 9
Jeremiah,24, 10
Jeremiah,24, 11
Jeremiah,24, 12
Jeremiah,24, 13
Jeremiah,24, 14
Jeremiah,24, 15
Jeremiah,24, 16
Jeremiah,24, 17
Jeremiah,24, 18
Jeremiah,24, 19
Jeremiah,24, 20
Jeremiah,24, 21
Jeremiah,24, 22
Jeremiah,24, 23
Jeremiah,24, 24
Jeremiah,24, 25
Jeremiah,24, 26
Jeremiah,24, 27
Jeremiah,24, 28
Jeremiah,24, 29
Jeremiah,24, 30
Jeremiah,24, 31
Jeremiah,24, 32
Jeremiah,24, 33
Jeremiah,24, 34
Jeremiah,24, 35
Jeremiah,24, 36
Jeremiah,24, 37
Jeremiah,24, 38
Jeremiah,24, 39
Jeremiah,24, 40
Jeremiah,24, 41
Jeremiah,24, 42
Jeremiah,24, 43
Jeremiah,24, 44
Jeremiah,24, 45
Jeremiah,24, 46
Jeremiah,24, 47
Jeremiah,24, 48
Jeremiah,24, 49
Jeremiah,24, 50
Jeremiah,24, 51
Jeremiah,24, 52
Lamentations,25, 1
Lamentations,25, 2
Lamentations,25, 3
Lamentations,25, 4
Lamentations,25, 5
Ezekiel,26, 1
Ezekiel,26, 2
Ezekiel,26, 3
Ezekiel,26, 4
Ezekiel,26, 5
Ezekiel,26, 6
Ezekiel,26, 7
Ezekiel,26, 8
Ezekiel,26, 9
Ezekiel,26, 10
Ezekiel,26, 11
Ezekiel,26, 12
Ezekiel,26, 13
Ezekiel,26, 14
Ezekiel,26, 15
Ezekiel,26, 16
Ezekiel,26, 17
Ezekiel,26, 18
Ezekiel,26, 19
Ezekiel,26, 20
Ezekiel,26, 21
Ezekiel,26, 22
Ezekiel,26, 23
Ezekiel,26, 24
Ezekiel,26, 25
Ezekiel,26, 26
Ezekiel,26, 27
Ezekiel,26, 28
Ezekiel,26, 29
Ezekiel,26, 30
Ezekiel,26, 31
Ezekiel,26, 32
Ezekiel,26, 33
Ezekiel,26, 34
Ezekiel,26, 35
Ezekiel,26, 36
Ezekiel,26, 37
Ezekiel,26, 38
Ezekiel,26, 39
Ezekiel,26, 40
Ezekiel,26, 41
Ezekiel,26, 42
Ezekiel,26, 43
Ezekiel,26, 44
Ezekiel,26, 45
Ezekiel,26, 46
Ezekiel,26, 47
Ezekiel,26, 48
Daniel,27, 1
Daniel,27, 2
Daniel,27, 3
Daniel,27, 4
Daniel,27, 5
Daniel,27, 6
Daniel,27, 7
Daniel,27, 8
Daniel,27, 9
Daniel,27, 10
Daniel,27, 11
Daniel,27, 12
Hosea,28, 1
Hosea,28, 2
Hosea,28, 3
Hosea,28, 4
Hosea,28, 5
Hosea,28, 6
Hosea,28, 7
Hosea,28, 8
Hosea,28, 9
Hosea,28, 10
Hosea,28, 11
Hosea,28, 12
Hosea,28, 13
Hosea,28, 14
Joel,29, 1
Joel,29, 2
Joel,29, 3
Amos,30, 1
Amos,30, 2
Amos,30, 3
Amos,30, 4
Amos,30, 5
Amos,30, 6
Amos,30, 7
Amos,30, 8
Amos,30, 9
Obadiah,31, 1
Jonah,32, 1
Jonah,32, 2
Jonah,32, 3
Jonah,32, 4
Micah,33, 1
Micah,33, 2
Micah,33, 3
Micah,33, 4
Micah,33, 5
Micah,33, 6
Micah,33, 7
Nahum,34, 1
Nahum,34, 2
Nahum,34, 3
Habakkuk,35, 1
Habakkuk,35, 2
Habakkuk,35, 3
Zephaniah,36, 1
Zephaniah,36, 2
Zephaniah,36, 3
Haggai,37, 1
Haggai,37, 2
Zechariah,38, 1
Zechariah,38, 2
Zechariah,38, 3
Zechariah,38, 4
Zechariah,38, 5
Zechariah,38, 6
Zechariah,38, 7
Zechariah,38, 8
Zechariah,38, 9
Zechariah,38, 10
Zechariah,38, 11
Zechariah,38, 12
Zechariah,38, 13
Zechariah,38, 14
Malachi,39, 1
Malachi,39, 2
Malachi,39, 3
Malachi,39, 4
Matthew,40, 1
Matthew,40, 2
Matthew,40, 3
Matthew,40, 4
Matthew,40, 5
Matthew,40, 6
Matthew,40, 7
Matthew,40, 8
Matthew,40, 9
Matthew,40, 10
Matthew,40, 11
Matthew,40, 12
Matthew,40, 13
Matthew,40, 14
Matthew,40, 15
Matthew,40, 16
Matthew,40, 17
Matthew,40, 18
Matthew,40, 19
Matthew,40, 20
Matthew,40, 21
Matthew,40, 22
Matthew,40, 23
Matthew,40, 24
Matthew,40, 25
Matthew,40, 26
Matthew,40, 27
Matthew,40, 28
Mark,41, 1
Mark,41, 2
Mark,41, 3
Mark,41, 4
Mark,41, 5
Mark,41, 6
Mark,41, 7
Mark,41, 8
Mark,41, 9
Mark,41, 10
Mark,41, 11
Mark,41, 12
Mark,41, 13
Mark,41, 14
Mark,41, 15
Mark,41, 16
Luke,42, 1
Luke,42, 2
Luke,42, 3
Luke,42, 4
Luke,42, 5
Luke,42, 6
Luke,42, 7
Luke,42, 8
Luke,42, 9
Luke,42, 10
Luke,42, 11
Luke,42, 12
Luke,42, 13
Luke,42, 14
Luke,42, 15
Luke,42, 16
Luke,42, 17
Luke,42, 18
Luke,42, 19
Luke,42, 20
Luke,42, 21
Luke,42, 22
Luke,42, 23
Luke,42, 24
John,43, 1
John,43, 2
John,43, 3
John,43, 4
John,43, 5
John,43, 6
John,43, 7
John,43, 8
John,43, 9
John,43, 10
John,43, 11
John,43, 12
John,43, 13
John,43, 14
John,43, 15
John,43, 16
John,43, 17
John,43, 18
John,43, 19
John,43, 20
John,43, 21
Acts of the Apostles,44, 1
Acts of the Apostles,44, 2
Acts of the Apostles,44, 3
Acts of the Apostles,44, 4
Acts of the Apostles,44, 5
Acts of the Apostles,44, 6
Acts of the Apostles,44, 7
Acts of the Apostles,44, 8
Acts of the Apostles,44, 9
Acts of the Apostles,44, 10
Acts of the Apostles,44, 11
Acts of the Apostles,44, 12
Acts of the Apostles,44, 13
Acts of the Apostles,44, 14
Acts of the Apostles,44, 15
Acts of the Apostles,44, 16
Acts of the Apostles,44, 17
Acts of the Apostles,44, 18
Acts of the Apostles,44, 19
Acts of the Apostles,44, 20
Acts of the Apostles,44, 21
Acts of the Apostles,44, 22
Acts of the Apostles,44, 23
Acts of the Apostles,44, 24
Acts of the Apostles,44, 25
Acts of the Apostles,44, 26
Acts of the Apostles,44, 27
Acts of the Apostles,44, 28
Romans,45, 1
Romans,45, 2
Romans,45, 3
Romans,45, 4
Romans,45, 5
Romans,45, 6
Romans,45, 7
Romans,45, 8
Romans,45, 9
Romans,45, 10
Romans,45, 11
Romans,45, 12
Romans,45, 13
Romans,45, 14
Romans,45, 15
Romans,45, 16
1 Corinthians,46, 1
1 Corinthians,46, 2
1 Corinthians,46, 3
1 Corinthians,46, 4
1 Corinthians,46, 5
1 Corinthians,46, 6
1 Corinthians,46, 7
1 Corinthians,46, 8
1 Corinthians,46, 9
1 Corinthians,46, 10
1 Corinthians,46, 11
1 Corinthians,46, 12
1 Corinthians,46, 13
1 Corinthians,46, 14
1 Corinthians,46, 15
1 Corinthians,46, 16
2 Corinthians,47, 1
2 Corinthians,47, 2
2 Corinthians,47, 3
2 Corinthians,47, 4
2 Corinthians,47, 5
2 Corinthians,47, 6
2 Corinthians,47, 7
2 Corinthians,47, 8
2 Corinthians,47, 9
2 Corinthians,47, 10
2 Corinthians,47, 11
2 Corinthians,47, 12
2 Corinthians,47, 13
Galatians,48, 1
Galatians,48, 2
Galatians,48, 3
Galatians,48, 4
Galatians,48, 5
Galatians,48, 6
Ephesians,49, 1
Ephesians,49, 2
Ephesians,49, 3
Ephesians,49, 4
Ephesians,49, 5
Ephesians,49, 6
Philippians,50, 1
Philippians,50, 2
Philippians,50, 3
Philippians,50, 4
Colossians,51, 1
Colossians,51, 2
Colossians,51, 3
Colossians,51, 4
1 Thessalonians,52, 1
1 Thessalonians,52, 2
1 Thessalonians,52, 3
1 Thessalonians,52, 4
1 Thessalonians,52, 5
2 Thessalonians,53, 1
2 Thessalonians,53, 2
2 Thessalonians,53, 3
1 Timothy,54, 1
1 Timothy,54, 2
1 Timothy,54, 3
1 Timothy,54, 4
1 Timothy,54, 5
1 Timothy,54, 6
2 Timothy,55, 1
2 Timothy,55, 2
2 Timothy,55, 3
2 Timothy,55, 4
Titus,56, 1
Titus,56, 2
Titus,56, 3
Philemon,57, 1
Hebrews,58, 1
Hebrews,58, 2
Hebrews,58, 3
Hebrews,58, 4
Hebrews,58, 5
Hebrews,58, 6
Hebrews,58, 7
Hebrews,58, 8
Hebrews,58, 9
Hebrews,58, 10
Hebrews,58, 11
Hebrews,58, 12
Hebrews,58, 13
James,59, 1
James,59, 2
James,59, 3
James,59, 4
James,59, 5
1 Peter,60, 1
1 Peter,60, 2
1 Peter,60, 3
1 Peter,60, 4
1 Peter,60, 5
2 Peter,61, 1
2 Peter,61, 2
2 Peter,61, 3
1 John,62, 1
1 John,62, 2
1 John,62, 3
1 John,62, 4
1 John,62, 5
2 John,63, 1
3 John,64, 1
Jude,65, 1
Revelation,66, 1
Revelation,66, 2
Revelation,66, 3
Revelation,66, 4
Revelation,66, 5
Revelation,66, 6
Revelation,66, 7
Revelation,66, 8
Revelation,66, 9
Revelation,66, 10
Revelation,66, 11
Revelation,66, 12
Revelation,66, 13
Revelation,66, 14
Revelation,66, 15
Revelation,66, 16
Revelation,66, 17
Revelation,66, 18
Revelation,66, 19
Revelation,66, 20
Revelation,66, 21
Revelation,66, 22